ranker,player_game_num_career,team_game_num_season,date,team_name_abbr,game_location,opp_name_abbr,game_type,game_result,is_starter,mp,fg,fga,fg_pct,fg3,fg3a,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,game_score,player_name,player_sr_link,school,season
21,82,22,2024-02-09,Illinois–Chicago,,Evansville,REG (Conf),W 65-57,,12,3,5,.600,0,0,3,5,.600,.600,1,2,.500,0,7,7,1,0,0,2,2,7,4.3,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
22,83,23,2024-02-11,Illinois–Chicago,,Indiana State,REG (Conf),W 68-53,,6,0,1,.000,0,0,0,1,.000,.000,2,2,1.000,1,0,1,0,0,0,0,1,2,1.6,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
23,84,24,2024-02-15,Illinois–Chicago,@,Illinois State,REG (Conf),L 61-64,,4,0,0,,0,0,0,0,,,1,2,.500,1,0,1,0,0,0,0,0,1,1.3,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
24,85,25,2024-02-17,Illinois–Chicago,@,Bradley,REG (Conf),W 68-47,,14,2,7,.286,0,0,2,7,.286,.286,2,2,1.000,4,7,11,0,1,0,0,1,6,7.4,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
25,86,26,2024-02-22,Illinois–Chicago,,Murray State,REG (Conf),L 63-83,,2,0,0,,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0.0,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
26,87,27,2024-02-25,Illinois–Chicago,@,Valparaiso,REG (Conf),W 82-59,,9,3,4,.750,0,0,3,4,.750,.750,1,4,.250,2,1,3,1,0,0,1,1,7,5.2,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
27,88,28,2024-02-29,Illinois–Chicago,@,Drake,REG (Conf),L 63-84,,18,7,12,.583,0,0,7,12,.583,.583,1,1,1.000,1,4,5,0,0,0,3,2,15,7.5,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
28,89,29,2024-03-02,Illinois–Chicago,@,Northern Iowa,REG (Conf),L 52-61,,16,1,2,.500,0,0,1,2,.500,.500,1,2,.500,0,3,3,0,0,0,0,2,3,1.7,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
29,90,30,2024-03-07,Illinois–Chicago,,Missouri State,REG (Conf),W 65-61,*,15,1,3,.333,0,0,1,3,.333,.333,0,0,,0,4,4,0,0,0,0,0,2,1.5,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
30,91,31,2024-03-09,Illinois–Chicago,,Southern Illinois,REG (Conf),L 65-69 (OT),*,22,2,3,.667,0,0,2,3,.667,.667,1,2,.500,1,3,4,0,0,0,2,1,5,2.5,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
31,92,32,2024-03-14,Illinois–Chicago,N,Valparaiso,CTOURN,W 79-77,,5,1,1,1.000,0,0,1,1,1.000,1.000,1,2,.500,1,1,2,0,0,0,0,1,3,2.9,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
32,93,33,2024-03-15,Illinois–Chicago,N,Belmont,CTOURN,L 65-70,,8,0,0,,0,0,0,0,,,0,0,,0,1,1,1,0,0,2,0,0,-1.0,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
33,94,34,2024-03-21,Illinois–Chicago,@,Southern Indiana,WNIT,L 64-69,,2,0,0,,0,0,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,0.3,Ky Dempsey-Toney,https://www.sports-reference.com/cbb/players/ky-dempsey-toney-1.html,illinois-chicago,2023-24
