Name,Position,Class Rank,Previous Team,Previous Team Abbrev,New Team,New Team Abbrev,Status,Date
Oralye Kiefer,PF,Junior,Northeastern,NE,,,Entered,2025-02-06T15:23:00
Natalie Herrin,CG,Junior,Presbyterian,PRES,,,Entered,2025-02-05T19:49:00
Hannah Hartley,SF,Senior,Nevada,NEV,,,Entered,2025-02-05T14:42:00
Tracey Hueston,PF,Senior,Charlotte,CHAR,,,Entered,2025-02-04T11:02:00
Sophia Sabino,CG,RedShirt Junior,Bucknell,BUCK,,,Entered,2025-02-03T10:42:00
Aislin Malcolm,CG,Junior,Pittsburgh,PITT,,,Entered,2025-01-28T10:43:00
Hope Evans,PG,RedShirt Sophomore,Coppin State,COP,,,Entered,2025-01-21T10:46:00
Isabelle Forsyth,CG,Senior,University of California-San Diego,UCSD,,,Entered,2025-01-17T10:48:00
Aniya Hubbard,SF,Junior,UAB,UAB,,,Entered,2024-12-26T15:15:00
Kaia Woods,PG,Senior,Akron,AKRN,,,Entered,2024-12-26T15:13:00
Isabellah Middleton,SG,Senior,St. Bonaventure University,SBU,,,Entered,2024-12-21T15:19:00
Laila Jewett,SG,Senior,UCF,UCF,Georgetown Hoyas,GU,Committed,2024-12-18T15:16:00
Zaniya Nelson,CG,Senior,Eastern Michigan,EMU,,,Entered,2024-12-11T15:17:00
Kailyn Nash,CG,Sophomore,Alabama A&M,ALAM,,,Entered,2024-12-06T14:26:00
Mackenzie Hurd,CG,RedShirt Sophomore,Youngstown State,YSU,Ohio Dominican Panthers,OHDM,Committed,2024-12-03T19:08:00
Iyanna Rogers,SF,RedShirt Junior,Pennsylvania,PENN,,,Entered,2024-12-02T18:42:00
Mackenzie Hurd,CG,RedShirt Sophomore,Youngstown State,YSU,,,Entered,2024-11-06T18:22:00
Aliyah Matharu,CG,Senior,Florida,UF,Baylor Bears,BAY,Committed,2024-11-03T12:55:00
Daijah Smith,CG,RedShirt Senior,Illinois State,ILST,,,Entered,2024-11-01T18:39:00
Laila Jewett,SG,Senior,UCF,UCF,,,Entered,2024-10-28T18:35:00
Hailey Weaver,CG,Senior,Northwestern,NW,,,Entered,2024-10-22T18:35:00
Aliyah Matharu,CG,Senior,Florida,UF,,,Entered,2024-10-18T12:53:00
